sumstatName	fullName	fieldID	biomarker_id	prettyName	subgroup
Total_Esterified_Cholesterol	Total Esterified Cholesterol	23415	totalce	Total-CE	Cholesteryl esters
Total_Fatty_Acids	Total Fatty Acids	23442	totfa	Total fatty acids	Fatty acids
Total_Free_Cholesterol	Total Free Cholesterol	23419	totalfc	Total-FC	Free cholesterol
Total_Lipids_in_Chylomicrons_and_Extremely_Large_VLDL	Total Lipids in Chylomicrons and Extremely Large VLDL	23482	xxlvldll	XXL-VLDL-L	Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards)
Total_Lipids_in_HDL	Total Lipids in HDL	23426	hdll	HDL-L	Total lipids
Total_Lipids_in_IDL	Total Lipids in IDL	23524	idll	IDL-L	IDL (average diameter 28.6 nm)
Total_Lipids_in_LDL	Total Lipids in LDL	23425	pureldll	LDL-L	Total lipids
Total_Lipids_in_Large_HDL	Total Lipids in Large HDL	23559	lhdll	L-HDL-L	Large HDL (average diameter 12.1 nm)
Total_Lipids_in_Large_LDL	Total Lipids in Large LDL	23531	lldll	L-LDL-L	Large LDL (average diameter 25.5 nm)
Total_Lipids_in_Large_VLDL	Total Lipids in Large VLDL	23496	lvldll	L-VLDL-L	Large VLDL (average diameter 53.6 nm)
Total_Lipids_in_Lipoprotein_Particles	Total Lipids in Lipoprotein Particles	23423	totall	Total-L	Total lipids
Total_Lipids_in_Medium_HDL	Total Lipids in Medium HDL	23566	mhdll	M-HDL-L	Medium HDL (average diameter 10.9 nm)
Total_Lipids_in_Medium_LDL	Total Lipids in Medium LDL	23538	mldll	M-LDL-L	Medium LDL (average diameter 23 nm)
Total_Lipids_in_Medium_VLDL	Total Lipids in Medium VLDL	23503	mvldll	M-VLDL-L	Medium VLDL (average diameter 44.5 nm)
Total_Lipids_in_Small_HDL	Total Lipids in Small HDL	23573	shdll	S-HDL-L	Small HDL (average diameter 8.7 nm)
Total_Lipids_in_Small_LDL	Total Lipids in Small LDL	23545	sldll	S-LDL-L	Small LDL (average diameter 18.7 nm)
Total_Lipids_in_Small_VLDL	Total Lipids in Small VLDL	23510	svldll	S-VLDL-L	Small VLDL (average diameter 36.8 nm)
Total_Lipids_in_VLDL	Total Lipids in VLDL	23424	vldll	VLDL-L	Total lipids
Total_Lipids_in_Very_Large_HDL	Total Lipids in Very Large HDL	23552	xlhdll	XL-HDL-L	Very large HDL (average diameter 14.3 nm)
Total_Lipids_in_Very_Large_VLDL	Total Lipids in Very Large VLDL	23489	xlvldll	XL-VLDL-L	Very large VLDL (average diameter 64 nm)
Total_Lipids_in_Very_Small_VLDL	Total Lipids in Very Small VLDL	23517	xsvldll	XS-VLDL-L	Very small VLDL (average diameter 31.3 nm)
Total_Phospholipids_in_Lipoprotein_Particles	Total Phospholipids in Lipoprotein Particles	23411	totalpl	Total-PL	Phospholipids
Total_Triglycerides	Total Triglycerides	23407	totaltg	Total triglycerides	Triglycerides
Triglycerides_in_Chylomicrons_and_Extremely_Large_VLDL	Triglycerides in Chylomicrons and Extremely Large VLDL	23487	xxlvldltg	XXL-VLDL-TG	Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards)
Triglycerides_in_HDL	Triglycerides in HDL	23410	hdltg	HDL-TG	Triglycerides
Triglycerides_in_IDL	Triglycerides in IDL	23529	idltg	IDL-TG	IDL (average diameter 28.6 nm)
Triglycerides_in_LDL	Triglycerides in LDL	23409	pureldltg	LDL-TG	Triglycerides
Triglycerides_in_Large_HDL	Triglycerides in Large HDL	23564	lhdltg	L-HDL-TG	Large HDL (average diameter 12.1 nm)
Triglycerides_in_Large_LDL	Triglycerides in Large LDL	23536	lldltg	L-LDL-TG	Large LDL (average diameter 25.5 nm)
Triglycerides_in_Large_VLDL	Triglycerides in Large VLDL	23501	lvldltg	L-VLDL-TG	Large VLDL (average diameter 53.6 nm)
Triglycerides_in_Medium_HDL	Triglycerides in Medium HDL	23571	mhdltg	M-HDL-TG	Medium HDL (average diameter 10.9 nm)
Triglycerides_in_Medium_LDL	Triglycerides in Medium LDL	23543	mldltg	M-LDL-TG	Medium LDL (average diameter 23 nm)
Triglycerides_in_Medium_VLDL	Triglycerides in Medium VLDL	23508	mvldltg	M-VLDL-TG	Medium VLDL (average diameter 44.5 nm)
Triglycerides_in_Small_HDL	Triglycerides in Small HDL	23578	shdltg	S-HDL-TG	Small HDL (average diameter 8.7 nm)
Triglycerides_in_Small_LDL	Triglycerides in Small LDL	23550	sldltg	S-LDL-TG	Small LDL (average diameter 18.7 nm)
Triglycerides_in_Small_VLDL	Triglycerides in Small VLDL	23515	svldltg	S-VLDL-TG	Small VLDL (average diameter 36.8 nm)
Triglycerides_in_VLDL	Triglycerides in VLDL	23408	vldltg	VLDL-TG	Triglycerides
Triglycerides_in_Very_Large_HDL	Triglycerides in Very Large HDL	23557	xlhdltg	XL-HDL-TG	Very large HDL (average diameter 14.3 nm)
Triglycerides_in_Very_Large_VLDL	Triglycerides in Very Large VLDL	23494	xlvldltg	XL-VLDL-TG	Very large VLDL (average diameter 64 nm)
Triglycerides_in_Very_Small_VLDL	Triglycerides in Very Small VLDL	23522	xsvldltg	XS-VLDL-TG	Very small VLDL (average diameter 31.3 nm)
Triglycerides_to_Phosphoglycerides_ratio	Triglycerides to Phosphoglycerides ratio	23435	tgbypg	TG/PG	Other lipids
Triglycerides_to_Total_Lipids_in_Chylomicrons_and_Extremely_Large_VLDL_percentage	Triglycerides to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	23583	xxlvldltgpct	XXL-VLDL-TG %	Chylomicrons and extremely large VLDL ratios
Triglycerides_to_Total_Lipids_in_IDL_percentage	Triglycerides to Total Lipids in IDL percentage	23613	idltgpct	IDL-TG %	IDL ratios
Triglycerides_to_Total_Lipids_in_Large_HDL_percentage	Triglycerides to Total Lipids in Large HDL percentage	23638	lhdltgpct	L-HDL-TG %	Large HDL ratios
Triglycerides_to_Total_Lipids_in_Large_LDL_percentage	Triglycerides to Total Lipids in Large LDL percentage	23618	lldltgpct	L-LDL-TG %	Large LDL ratios
Triglycerides_to_Total_Lipids_in_Large_VLDL_percentage	Triglycerides to Total Lipids in Large VLDL percentage	23593	lvldltgpct	L-VLDL-TG %	Large VLDL ratios
Triglycerides_to_Total_Lipids_in_Medium_HDL_percentage	Triglycerides to Total Lipids in Medium HDL percentage	23643	mhdltgpct	M-HDL-TG %	Medium HDL ratios
Triglycerides_to_Total_Lipids_in_Medium_LDL_percentage	Triglycerides to Total Lipids in Medium LDL percentage	23623	mldltgpct	M-LDL-TG %	Medium LDL ratios
Triglycerides_to_Total_Lipids_in_Medium_VLDL_percentage	Triglycerides to Total Lipids in Medium VLDL percentage	23598	mvldltgpct	M-VLDL-TG %	Medium VLDL ratios
Triglycerides_to_Total_Lipids_in_Small_HDL_percentage	Triglycerides to Total Lipids in Small HDL percentage	23648	shdltgpct	S-HDL-TG %	Small HDL ratios
Triglycerides_to_Total_Lipids_in_Small_LDL_percentage	Triglycerides to Total Lipids in Small LDL percentage	23628	sldltgpct	S-LDL-TG %	Small LDL ratios
Triglycerides_to_Total_Lipids_in_Small_VLDL_percentage	Triglycerides to Total Lipids in Small VLDL percentage	23603	svldltgpct	S-VLDL-TG %	Small VLDL ratios
Triglycerides_to_Total_Lipids_in_Very_Large_HDL_percentage	Triglycerides to Total Lipids in Very Large HDL percentage	23633	xlhdltgpct	XL-HDL-TG %	Very large HDL ratios
Triglycerides_to_Total_Lipids_in_Very_Large_VLDL_percentage	Triglycerides to Total Lipids in Very Large VLDL percentage	23588	xlvldltgpct	XL-VLDL-TG %	Very large VLDL ratios
Triglycerides_to_Total_Lipids_in_Very_Small_VLDL_percentage	Triglycerides to Total Lipids in Very Small VLDL percentage	23608	xsvldltgpct	XS-VLDL-TG %	Very small VLDL ratios
Tyrosine	Tyrosine	23469	tyr	Tyrosine	Aromatic amino acids
VLDL_Cholesterol	VLDL Cholesterol	23403	vldlc	VLDL-C	Cholesterol
Valine	Valine	23467	val	Valine	Branched-chain amino acids
